flow_key,scenario,split,label,prob,pred
410757bc149d9478,ddos_wisenet-camera_80,test_text,0,0.0011359135,0
4bd83a074fd21d40,ddos_wisenet-camera_80,test_text,0,0.001475364,0
f86713af09a034bb,ddos_wisenet-camera_80,test_text,0,0.0010604352,0
2df1629dcce9f5b9,ddos_wisenet-camera_80,test_text,0,0.0011595114,0
477316d29ac89539,ddos_wisenet-camera_80,test_text,1,0.999159,1
db52431bac750abc,ddos_wisenet-camera_80,test_text,1,0.999159,1
97c98cec83e89c0c,ddos_wisenet-camera_80,test_text,0,0.001027709,0
5176b860b4cf2090,ddos_wisenet-camera_80,test_text,0,0.0027239942,0
25110de2d24bba2f,ddos_wisenet-camera_80,test_text,1,0.999159,1
8068505585066b91,ddos_wisenet-camera_80,test_text,1,0.999159,1
c76f46d4c83c3f6e,ddos_wisenet-camera_80,test_text,0,0.0013289073,0
41de0bb10fba9a81,ddos_wisenet-camera_80,test_text,1,0.999159,1
3654ec479e42f261,ddos_wisenet-camera_80,test_text,1,0.999159,1
d94ea630c5270249,ddos_wisenet-camera_80,test_text,0,0.0012024456,0
95487f64c3b78082,ddos_wisenet-camera_80,test_text,1,0.999159,1
70d3c845c3657b55,ddos_wisenet-camera_80,test_text,1,0.999159,1
9f0d5baf019c4557,ddos_wisenet-camera_80,test_text,1,0.999159,1
b6b06639b680e257,ddos_wisenet-camera_80,test_text,0,0.0013523843,0
7e814730096af0ba,ddos_wisenet-camera_80,test_text,1,0.999159,1
ad46fcf9b7f894f2,ddos_wisenet-camera_80,test_text,1,0.999159,1
dfd20ef7d5b78e97,ddos_wisenet-camera_80,test_text,1,0.999159,1
1095d4676ca79637,ddos_wisenet-camera_80,test_text,0,0.0010848541,0
2ad06d600a736c1d,ddos_wisenet-camera_80,test_text,1,0.999159,1
6e241c657fd0dd24,ddos_wisenet-camera_80,test_text,1,0.999159,1
eee2abca1fac9142,ddos_wisenet-camera_80,test_text,1,0.999159,1
b36314c387294f93,ddos_wisenet-camera_80,test_text,1,0.999159,1
198d5c0fbb1b1895,ddos_wisenet-camera_80,test_text,0,0.0011741974,0
70d02dce479f1e2e,ddos_wisenet-camera_80,test_text,0,0.005406505,0
32f06f504b8090da,ddos_wisenet-camera_80,test_text,0,0.0014696737,0
7fc231d9f25484e6,ddos_wisenet-camera_80,test_text,0,0.0010614722,0
a4f51cfd91707fcc,ddos_wisenet-camera_80,test_text,1,0.999159,1
82dc5de26e1856c1,ddos_wisenet-camera_80,test_text,1,0.999159,1
7ffd2ef4a45510a9,ddos_wisenet-camera_80,test_text,1,0.999159,1
62bf384c238a84e4,ddos_wisenet-camera_80,test_text,0,0.0010682193,0
92a2123565109d6a,ddos_wisenet-camera_80,test_text,1,0.999159,1
ade01eacfa0f4473,ddos_wisenet-camera_80,test_text,0,0.0012391526,0
14f877e1b7f06720,ddos_wisenet-camera_80,test_text,0,0.0011569984,0
fd3c4ce866101068,ddos_wisenet-camera_80,test_text,1,0.999159,1
59ec2dc647038c06,ddos_wisenet-camera_80,test_text,1,0.999159,1
1f64bcc12edb1199,ddos_wisenet-camera_80,test_text,1,0.999159,1
1fbac1e5f38be029,ddos_wisenet-camera_80,test_text,1,0.999159,1
9ac9b39ab2eb7d5f,ddos_wisenet-camera_80,test_text,1,0.999159,1
33a714ec1b6909e1,ddos_wisenet-camera_80,test_text,0,0.0011915659,0
fdc8956b18c0de91,ddos_wisenet-camera_80,test_text,1,0.999159,1
1ef41cc53e15895c,ddos_wisenet-camera_80,test_text,1,0.999159,1
c643ad2a162dcc7c,ddos_wisenet-camera_80,test_text,1,0.999159,1
d4f4679c0669913e,ddos_wisenet-camera_80,test_text,1,0.999159,1
bfd6753d2fd5cb44,ddos_wisenet-camera_80,test_text,1,0.999159,1
6bc64748cf381e7f,ddos_wisenet-camera_80,test_text,1,0.999159,1
884c58cb00bd57f9,ddos_wisenet-camera_80,test_text,1,0.999159,1
2e4b8a77e311cc50,ddos_wisenet-camera_80,test_text,1,0.999159,1
8366a708e5d054a4,ddos_wisenet-camera_80,test_text,0,0.0011016902,0
5e50a29ff1921f94,ddos_wisenet-camera_80,test_text,1,0.999159,1
9e9e1be68e9bee85,ddos_wisenet-camera_80,test_text,1,0.999159,1
9a9f29c86ea15fbb,ddos_wisenet-camera_80,test_text,1,0.999159,1
95c1e2b16abdaf4c,ddos_wisenet-camera_80,test_text,1,0.999159,1
a904cd61cd7a0ba3,ddos_wisenet-camera_80,test_text,1,0.999159,1
89e676ada385aeb1,ddos_wisenet-camera_80,test_text,1,0.999159,1
66ba7d8738c10fe8,ddos_wisenet-camera_80,test_text,1,0.999159,1
aaa78fb9554a8703,ddos_wisenet-camera_80,test_text,1,0.999159,1
20c32ff4acf537fe,ddos_wisenet-camera_80,test_text,1,0.999159,1
70b115a21f04daf4,ddos_wisenet-camera_80,test_text,1,0.999159,1
9540718da6139bc9,ddos_wisenet-camera_80,test_text,1,0.999159,1
da74c2194901052d,ddos_wisenet-camera_80,test_text,1,0.999159,1
3d5c1bb55df91db5,ddos_wisenet-camera_80,test_text,1,0.999159,1
4accc8a2b616d9ec,ddos_wisenet-camera_80,test_text,1,0.999159,1
ddfe281cfb699c80,ddos_wisenet-camera_80,test_text,1,0.999159,1
acc5d2fc058a4e3a,ddos_wisenet-camera_80,test_text,1,0.999159,1
f4b8619ac77529e8,ddos_wisenet-camera_80,test_text,1,0.999159,1
e002deb239e5b6eb,ddos_wisenet-camera_80,test_text,1,0.999159,1
b05f0059af8882e2,ddos_wisenet-camera_80,test_text,1,0.999159,1
86c2193d52f149f2,ddos_wisenet-camera_80,test_text,1,0.999159,1
469f6439a49f3fd9,ddos_wisenet-camera_80,test_text,1,0.999159,1
b78664381f0e4dba,ddos_wisenet-camera_80,test_text,1,0.999159,1
5144f8c1022d8dba,ddos_wisenet-camera_80,test_text,1,0.999159,1
9ddc115f9296b281,ddos_wisenet-camera_80,test_text,1,0.999159,1
80b0d2c69f92416e,ddos_wisenet-camera_80,test_text,1,0.999159,1
d72cc574d47046ea,ddos_wisenet-camera_80,test_text,1,0.999159,1
bc7f81a6c68f8324,ddos_wisenet-camera_80,test_text,1,0.999159,1
74d0feb9888c73ec,ddos_wisenet-camera_80,test_text,1,0.999159,1
20972fbfc2d135d5,ddos_wisenet-camera_80,test_text,1,0.999159,1
7dae49f4b03ef406,ddos_wisenet-camera_80,test_text,1,0.999159,1
f9ae5f52b13b75a1,ddos_wisenet-camera_80,test_text,1,0.999159,1
2f669d07aee7ee39,ddos_wisenet-camera_80,test_text,1,0.999159,1
b4d5e58041425ef5,ddos_wisenet-camera_80,test_text,1,0.999159,1
