flow_key,scenario,prob,condition,model,model_id,raw_output,json_status,valid_json,verdict,confidence,explanation,mitigation,text_for_eval,gen_seconds,prompt_tokens,gen_tokens,truncated,tokens_per_second
469f6439a49f3fd9,ddos_wisenet-camera_80,0.9991589784622192,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9992)"",""explanation"":""client max packet size is 234 bytes against a normal 106 and carries 85% of the decision, so this one feature characterises the flow rather than a combination. server stddev packet size is 4.62 against a normal 0.25, contributes 8%, and argues against the attack label rather than for it. server min inter-arrival is 0.0s, the same as normal, and also argues against the attack label, adding 2%."",""mitigation"":[""Monitor the device's behavior over time for unusual patterns"",""Report the issue to your network administrator immediately""]",repaired,True,Attack (Slowloris),very high (0.9992),"client max packet size is 234 bytes against a normal 106 and carries 85% of the decision, so this one feature characterises the flow rather than a combination. server stddev packet size is 4.62 against a normal 0.25, contributes 8%, and argues against the attack label rather than for it. server min inter-arrival is 0.0s, the same as normal, and also argues against the attack label, adding 2%.",Monitor the device's behavior over time for unusual patterns; Report the issue to your network administrator immediately,"client max packet size is 234 bytes against a normal 106 and carries 85% of the decision, so this one feature characterises the flow rather than a combination. server stddev packet size is 4.62 against a normal 0.25, contributes 8%, and argues against the attack label rather than for it. server min inter-arrival is 0.0s, the same as normal, and also argues against the attack label, adding 2%.",2.6629562089947285,1347,153,False,57.45494405173032
5c318988490d1158,dos_wisenet-camera_554,0.9991607666015624,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9992)"",""explanation"":""client max packet size is 234 bytes against a normal 106 and carries 85% of the decision, so this one feature characterises the flow rather than a combination. server stddev packet size is 3.02 against a normal 0.25, contributes 4%, and argues against the attack label rather than for it. server mean packet size is 67.14 against a normal 54.25, contributes 2%, and argues against the attack label, adding 8%.""}",clean,True,Attack (Slowloris),very high (0.9992),"client max packet size is 234 bytes against a normal 106 and carries 85% of the decision, so this one feature characterises the flow rather than a combination. server stddev packet size is 3.02 against a normal 0.25, contributes 4%, and argues against the attack label rather than for it. server mean packet size is 67.14 against a normal 54.25, contributes 2%, and argues against the attack label, adding 8%.",,"client max packet size is 234 bytes against a normal 106 and carries 85% of the decision, so this one feature characterises the flow rather than a combination. server stddev packet size is 3.02 against a normal 0.25, contributes 4%, and argues against the attack label rather than for it. server mean packet size is 67.14 against a normal 54.25, contributes 2%, and argues against the attack label, adding 8%.",2.1396850839955732,1350,138,False,64.49547226936014
1777cce92165326e,dos_wisenet-camera_80,0.9991594552993774,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9992)"",""explanation"":""client max packet size is 234 bytes against a normal 106 and carries 88% of the decision, so this one feature characterises the flow rather than a combination. server stddev packet size is 3.58 against a normal 0.25, contributes 3%, and argues against the attack label rather than for it. server bytes is 338 against a normal 866, contributes 2%, and argues against the attack label, adding 8%.""}",clean,True,Attack (Slowloris),very high (0.9992),"client max packet size is 234 bytes against a normal 106 and carries 88% of the decision, so this one feature characterises the flow rather than a combination. server stddev packet size is 3.58 against a normal 0.25, contributes 3%, and argues against the attack label rather than for it. server bytes is 338 against a normal 866, contributes 2%, and argues against the attack label, adding 8%.",,"client max packet size is 234 bytes against a normal 106 and carries 88% of the decision, so this one feature characterises the flow rather than a combination. server stddev packet size is 3.58 against a normal 0.25, contributes 3%, and argues against the attack label rather than for it. server bytes is 338 against a normal 866, contributes 2%, and argues against the attack label, adding 8%.",2.053311791998567,1343,132,False,64.28638870841887
4daa82a99ec18615,ddos_wisenet-camera_80,0.998537540435791,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9985)"",""explanation"":""client max packet size is 74 bytes against a normal 106 and carries 38% of the decision. server min inter-arrival is 0.0s against a normal 0.0s and adds 21%, arguing against the attack label. total min packet size is 74 bytes against a normal 54, contributing 15% of the decision. These three factors together account for 88% of the decision, suggesting a pattern consistent with Slowloris attacks.""}",clean,True,Attack (Slowloris),very high (0.9985),"client max packet size is 74 bytes against a normal 106 and carries 38% of the decision. server min inter-arrival is 0.0s against a normal 0.0s and adds 21%, arguing against the attack label. total min packet size is 74 bytes against a normal 54, contributing 15% of the decision. These three factors together account for 88% of the decision, suggesting a pattern consistent with Slowloris attacks.",,"client max packet size is 74 bytes against a normal 106 and carries 38% of the decision. server min inter-arrival is 0.0s against a normal 0.0s and adds 21%, arguing against the attack label. total min packet size is 74 bytes against a normal 54, contributing 15% of the decision. These three factors together account for 88% of the decision, suggesting a pattern consistent with Slowloris attacks.",2.056013207999058,1347,133,False,64.68830038764077
a35c7fb55c6742ba,ddos_wisenet-camera_80,0.9986259937286376,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9986)"",""explanation"":""The highest confidence indicates a strong suspicion of Slowloris attack. The remaining features contribute less than 10% of the decision, suggesting they may be irrelevant. Server bytes is 296 against a normal 866, contributing 9% and arguing against the attack label. This suggests the attacker might have chosen a smaller payload size."", ""mitigation"": [""Monitor server behavior closely for unusual patterns.""]}",clean,True,Attack (Slowloris),very high (0.9986),"The highest confidence indicates a strong suspicion of Slowloris attack. The remaining features contribute less than 10% of the decision, suggesting they may be irrelevant. Server bytes is 296 against a normal 866, contributing 9% and arguing against the attack label. This suggests the attacker might have chosen a smaller payload size.",Monitor server behavior closely for unusual patterns.,"The highest confidence indicates a strong suspicion of Slowloris attack. The remaining features contribute less than 10% of the decision, suggesting they may be irrelevant. Server bytes is 296 against a normal 866, contributing 9% and arguing against the attack label. This suggests the attacker might have chosen a smaller payload size.",1.740812875010306,1346,111,False,63.76331516926703
0ea7bad5dbb85bb1,ddos_wisenet-camera_80,0.9986777901649476,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9987)"",""explanation"":""client max packet size is 255 bytes against a normal 106 and carries 47% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 10%, so these two combine rather than either being decisive alone. server mean packet size is 74 bytes against a normal 54.25, contributes 7%, and argues against the attack label rather than for it."",""mitigation"":[""Monitor the behavior of the device over time"",""Consider increasing the security settings on the device""]}",clean,True,Attack (Slowloris),very high (0.9987),"client max packet size is 255 bytes against a normal 106 and carries 47% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 10%, so these two combine rather than either being decisive alone. server mean packet size is 74 bytes against a normal 54.25, contributes 7%, and argues against the attack label rather than for it.",Monitor the behavior of the device over time; Consider increasing the security settings on the device,"client max packet size is 255 bytes against a normal 106 and carries 47% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 10%, so these two combine rather than either being decisive alone. server mean packet size is 74 bytes against a normal 54.25, contributes 7%, and argues against the attack label rather than for it.",2.215291917003924,1350,145,False,65.45412768720139
e340507fa26fae9e,dos_wisenet-camera_554,0.9991577863693236,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9992)"",""explanation"":""client max packet size is 234 bytes against a normal 106 and carries 92% of the decision, so this one feature characterises the flow rather than a combination. server mean packet size is 68.86 bytes against a normal 54.25, contributes 3%, and argues against the attack label rather than for it. server bytes is 482 against a normal 866, contributes 2%, and argues against the attack label."", ""mitigation"": [""Monitor server performance closely over time""]}",clean,True,Attack (Slowloris),very high (0.9992),"client max packet size is 234 bytes against a normal 106 and carries 92% of the decision, so this one feature characterises the flow rather than a combination. server mean packet size is 68.86 bytes against a normal 54.25, contributes 3%, and argues against the attack label rather than for it. server bytes is 482 against a normal 866, contributes 2%, and argues against the attack label.",Monitor server performance closely over time,"client max packet size is 234 bytes against a normal 106 and carries 92% of the decision, so this one feature characterises the flow rather than a combination. server mean packet size is 68.86 bytes against a normal 54.25, contributes 3%, and argues against the attack label rather than for it. server bytes is 482 against a normal 866, contributes 2%, and argues against the attack label.",2.167831208993448,1346,142,False,65.50325477873918
d247007d2316ce78,ddos_wisenet-camera_80,0.9991549253463744,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9992)"",""explanation"":""client max packet size is 234 bytes against a normal 106 and carries 53% of the decision. server min inter-arrival is 0.0s against a normal 0.0s and adds 20%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25, contributes 7%, and argues against the attack label rather than for it."",""mitigation"":[""Monitor the device's behavior over time for unusual patterns"",""Report the issue to the security team immediately""]}",clean,True,Attack (Slowloris),very high (0.9992),"client max packet size is 234 bytes against a normal 106 and carries 53% of the decision. server min inter-arrival is 0.0s against a normal 0.0s and adds 20%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25, contributes 7%, and argues against the attack label rather than for it.",Monitor the device's behavior over time for unusual patterns; Report the issue to the security team immediately,"client max packet size is 234 bytes against a normal 106 and carries 53% of the decision. server min inter-arrival is 0.0s against a normal 0.0s and adds 20%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25, contributes 7%, and argues against the attack label rather than for it.",2.2221831669885432,1348,145,False,65.25114677945338
18c2931c2ae44927,ddos_wisenet-camera_80,0.9988583326339722,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9989)"",""explanation"":""client max packet size is 255 bytes against a normal 106 and carries 48% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 12%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25, contributes 7%, and argues against the attack label rather than for it."",""mitigation"":[""Monitor the device's behavior over time for unusual patterns"",""Report the issue to the security team immediately""]}",clean,True,Attack (Slowloris),very high (0.9989),"client max packet size is 255 bytes against a normal 106 and carries 48% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 12%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25, contributes 7%, and argues against the attack label rather than for it.",Monitor the device's behavior over time for unusual patterns; Report the issue to the security team immediately,"client max packet size is 255 bytes against a normal 106 and carries 48% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 12%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25, contributes 7%, and argues against the attack label rather than for it.",2.220674540993059,1348,145,False,65.29547546177466
6864815a323f55cd,dos_wisenet-camera_80,0.9987527132034302,few_shot,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""very high (0.9988)"",""explanation"":""client max packet size is 255 bytes against a normal 106 and carries 45% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 11%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25, contributes 8%, and argues against the attack label rather than for it."",""mitigation"":[""Monitor the device's behavior over time for unusual patterns"",""Report the issue to the security team immediately""]}",clean,True,Attack (Slowloris),very high (0.9988),"client max packet size is 255 bytes against a normal 106 and carries 45% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 11%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25, contributes 8%, and argues against the attack label rather than for it.",Monitor the device's behavior over time for unusual patterns; Report the issue to the security team immediately,"client max packet size is 255 bytes against a normal 106 and carries 45% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 11%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25, contributes 8%, and argues against the attack label rather than for it.",2.200450667005498,1347,145,False,65.89559228670393
