flow_key,scenario,prob,evidence
469f6439a49f3fd9,ddos_wisenet-camera_80,0.9991589784622192,"VERDICT: Attack (Slowloris)
Scenario: ddos_wisenet-camera_80
Confidence: 0.9992 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 234 bytes | normal: 106 | RAISES suspicion | 85% of the decision
2. server stddev packet size = 4.62 bytes | normal: 0.25 | LOWERS suspicion | 8% of the decision
3. server min inter-arrival = 0.0s | normal: 0.0s | LOWERS suspicion | 2% of the decision
Remaining 10 features: 6% combined, none individually significant."
5c318988490d1158,dos_wisenet-camera_554,0.9991607666015624,"VERDICT: Attack (Slowloris)
Scenario: dos_wisenet-camera_554
Confidence: 0.9992 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 234 bytes | normal: 106 | RAISES suspicion | 85% of the decision
2. server stddev packet size = 3.02 bytes | normal: 0.25 | LOWERS suspicion | 4% of the decision
3. server mean packet size = 67.14 bytes | normal: 54.25 | RAISES suspicion | 2% of the decision
Remaining 10 features: 8% combined, none individually significant."
1777cce92165326e,dos_wisenet-camera_80,0.9991594552993774,"VERDICT: Attack (Slowloris)
Scenario: dos_wisenet-camera_80
Confidence: 0.9992 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 234 bytes | normal: 106 | RAISES suspicion | 88% of the decision
2. server stddev packet size = 3.58 bytes | normal: 0.25 | LOWERS suspicion | 3% of the decision
3. server bytes = 338 bytes | normal: 866 | RAISES suspicion | 2% of the decision
Remaining 10 features: 6% combined, none individually significant."
4daa82a99ec18615,ddos_wisenet-camera_80,0.998537540435791,"VERDICT: Attack (Slowloris)
Scenario: ddos_wisenet-camera_80
Confidence: 0.9985 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 74 bytes | normal: 106 | RAISES suspicion | 38% of the decision
2. server min inter-arrival = 0.0s | normal: 0.0s | RAISES suspicion | 21% of the decision
3. total min packet size = 74 bytes | normal: 54 | RAISES suspicion | 15% of the decision
Remaining 10 features: 26% combined, none individually significant."
a35c7fb55c6742ba,ddos_wisenet-camera_80,0.9986259937286376,"VERDICT: Attack (Slowloris)
Scenario: ddos_wisenet-camera_80
Confidence: 0.9986 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 255 bytes | normal: 106 | RAISES suspicion | 42% of the decision
2. server bytes = 296 bytes | normal: 866 | LOWERS suspicion | 10% of the decision
3. server min inter-arrival = 1.0s | normal: 0.0s | RAISES suspicion | 9% of the decision
Remaining 10 features: 40% combined, none individually significant."
0ea7bad5dbb85bb1,ddos_wisenet-camera_80,0.9986777901649476,"VERDICT: Attack (Slowloris)
Scenario: ddos_wisenet-camera_80
Confidence: 0.9987 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 255 bytes | normal: 106 | RAISES suspicion | 47% of the decision
2. server min inter-arrival = 1.0s | normal: 0.0s | RAISES suspicion | 10% of the decision
3. server mean packet size = 74 bytes | normal: 54.25 | RAISES suspicion | 7% of the decision
Remaining 10 features: 36% combined, none individually significant."
e340507fa26fae9e,dos_wisenet-camera_554,0.9991577863693236,"VERDICT: Attack (Slowloris)
Scenario: dos_wisenet-camera_554
Confidence: 0.9992 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 234 bytes | normal: 106 | RAISES suspicion | 92% of the decision
2. server mean packet size = 68.86 bytes | normal: 54.25 | LOWERS suspicion | 3% of the decision
3. server bytes = 482 bytes | normal: 866 | RAISES suspicion | 2% of the decision
Remaining 10 features: 3% combined, none individually significant."
d247007d2316ce78,ddos_wisenet-camera_80,0.9991549253463744,"VERDICT: Attack (Slowloris)
Scenario: ddos_wisenet-camera_80
Confidence: 0.9992 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 234 bytes | normal: 106 | RAISES suspicion | 53% of the decision
2. server min inter-arrival = 0.0s | normal: 0.0s | RAISES suspicion | 20% of the decision
3. server stddev packet size = 0 bytes | normal: 0.25 | RAISES suspicion | 7% of the decision
Remaining 10 features: 20% combined, none individually significant."
18c2931c2ae44927,ddos_wisenet-camera_80,0.9988583326339722,"VERDICT: Attack (Slowloris)
Scenario: ddos_wisenet-camera_80
Confidence: 0.9989 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 255 bytes | normal: 106 | RAISES suspicion | 48% of the decision
2. server min inter-arrival = 1.0s | normal: 0.0s | RAISES suspicion | 12% of the decision
3. server stddev packet size = 0 bytes | normal: 0.25 | RAISES suspicion | 7% of the decision
Remaining 10 features: 33% combined, none individually significant."
6864815a323f55cd,dos_wisenet-camera_80,0.9987527132034302,"VERDICT: Attack (Slowloris)
Scenario: dos_wisenet-camera_80
Confidence: 0.9988 (alert threshold 0.24)

EVIDENCE
1. client max packet size = 255 bytes | normal: 106 | RAISES suspicion | 45% of the decision
2. server min inter-arrival = 1.0s | normal: 0.0s | RAISES suspicion | 11% of the decision
3. server stddev packet size = 0 bytes | normal: 0.25 | RAISES suspicion | 8% of the decision
Remaining 10 features: 36% combined, none individually significant."
